file_name,name,dealer,type,how-to-earn,dealer-cosplay,fandom,days
Ashley_-_Traded!.jpg,Traded!,Ashley,Connection,"Give a ribbon, get 2 ribbions. One for you and one to trade",Wearing a tiara,N/A,"Friday, Saturday, Sunday"
Under_the_Mountain_Apothecary_-_Uncle_Iroh.jpg,Uncle Iroh,Under the Mountain Apothecary,Action,Spend $50 at Under the Mountain Apothecary,Vending at Booth 87,N/A,"Friday, Saturday, Sunday"
srsbznss-Thomas_-_Upper_Moon.png,Upper Moon,srsbznss/Thomas,Action,"Politely approach Thomas and do at least one of the following:
 - Be cosplaying a demon from Demon Slayer
 - Show Thomas a picture you took (with permission) of someone cosplaying a demon from Demon Slayer at Nebkon 2025
 - Show Thomas a picture/autograph/video you've received from a guest that voiced a demon in Demon Slayer, such as Jonah Scott
 - Show Thomas Demon Slayer demon merch that you've purchased (online photos don't count!)","Throughout the weekend, Thomas will be wearing either a magenta, floral suit jacket or a dark blue, velvet suit jacket.",Demon Slayer,"Friday, 
Saturday Morning, 
Saturday Night, 
Sunday"
srsbznss-Thomas_-_Valley_Life.png,Valley Life,srsbznss/Thomas,Action,"Politely approach Thomas and do at least one of the following:
 - Be in Stardew Valley cosplay
 - Show Thomas a picture you took (with permission) of someone in Stardew Valley cosplay at Nebkon 2025
 - Show Thomas a picture of your farm in Stardew Valley
 - Show Thomas a picture taken before/during a Festival of Seasons or Symphony of Seasons performance
 - Show Thomas Stardew Valley merch that you've purchased (online photos don't count!)
 - Tell Thomas who your favorite Stardew Valley NPC is and why","Throughout the weekend, Thomas will be wearing either a magenta, floral suit jacket or a dark blue, velvet suit jacket.",Stardew Valley,"Friday, 
Saturday Morning, 
Saturday Night, 
Sunday"
srsbznss-Thomas_-_Valor.png,Valor,srsbznss/Thomas,Exclusive,"In Pokémon Go, be a member of Team Valor and show Thomas your trainer profile","Throughout the weekend, Thomas will be wearing either a magenta, floral suit jacket or a dark blue, velvet suit jacket.",Pokemon,"Friday, 
Saturday Morning, 
Saturday Night, 
Sunday"
srsbznss-Thomas_-_Vampire_the_Masquerade.png,Vampire the Masquerade,srsbznss/Thomas,Q&A,"Politely approach Thomas, name a clan from Vampire the Masquerade that you like, and tell Thomas why you like the clan","Throughout the weekend, Thomas will be wearing either a magenta, floral suit jacket or a dark blue, velvet suit jacket.",Vampire the Masquerade,"Friday, 
Saturday Morning, 
Saturday Night, 
Sunday"
Andrew_Huggins_-_Vendor's_Hall_GACHA.png,Vendor's Hall GACHA - Common/Rare/SUPER RARE,Andrew Huggins,Achievement,"First Gacha ""pull"" is free for all attendees, consequtive pulls require a 1 dollar donation to the NJAS",Vendors Hall Staff Table,N/A,"Friday, Saturday, Sunday"
Kile_McCurdy_-_Visited_the_Photo_Booth.png,Visited the Photo Booth,Kile McCurdy,Action,Get your photo taken at the photo booth,Photo Booth,N/A,"Friday, Saturday, Sunday"
EB_-_WAAAH!.jpg,WAAAH!,EB,Achievement,"Give me your best ""WAAAH!""",Find Waluigi with a blue shell!,Mario/Nintendo,"Friday, Saturday"
Winterra_Art_-_Whale_Energy.jpg,Whale Energy,Winterra Art,Achievement,Spend $50+ at Winterra Art’s Booth,Artist Alley Booth 41 (Corner) Winterra Art,N/A,"Friday, Saturday, Sunday"
Atlas_-_What_matters_is_you_not_the_state_of_you.jpg,What matters is you not the state of you,Atlas,Connection,Either me seeing them in a heavens cosplay and giving one or just asking!,Xie lian or hornet cosplay,Heaven officials blessing,"Friday, Saturday, Sunday"
Wes_-_Why_did_you_let_Rin_die.png,Why did you let Rin die?,Wes,Action,Take a picture with me,Obito/Madara,Naruto,Saturday
Anonymous_-_You_Are_Safe_With_Me.jpg,You Are Safe With Me,Anonymous,Connection,"word of mouth. If you know, you know.",,N/A,"Friday, Saturday, Sunday"
Lupin_-_You_captured_lupin_the_third.jpg,You captured lupin the third,Lupin,Action,Capture lupin with the handcuffs,My red blazer and yellow tie,Lupin the third,"Friday, Sunday"


