file_name,name,dealer,type,how-to-earn,dealer-cosplay,fandom,days
srsbznss-Thomas_-_I_Have_No_Enemies.png,I Have No Enemies,srsbznss/Thomas,Action,"Politely approach Thomas and do at least one of the following:
 - Be in Vinland Saga cosplay
 - Show Thomas a picture you took (with permission) of someone in Vinland Saga cosplay at Nebkon 2025
 - Show Thomas a picture/autograph/video you've received from a guest that voiced a character in Vinland Saga
 - Show Thomas Vinland Saga merch that you've purchased (online photos don't count!)
 - Give Thomas your best Thorfinn battle pose","Throughout the weekend, Thomas will be wearing either a magenta, floral suit jacket or a dark blue, velvet suit jacket.",Vinland Saga,"Friday, 
Saturday Morning, 
Saturday Night, 
Sunday"
Sue_-_Merch_Coordinator_-_I_use_my_bonus_action_to_buy!.png,I use my bonus action to buy!,Sue - Merch Coordinator,Achievement,"Making a purchase at the merch booth. If you pre-ordered merch, you will get one when you pick up your pre-orders.",Behind the merch booth,N/A,"Friday, Saturday, Sunday"
Elliot_Vendetta_(They-Them)_-_I-Buki-Mio-Da!.jpg,I-Buki-Mio-Da!,Elliot Vendetta (They/Them),Connection,Just come tell me about your favorite Danganronpa game/anime/book! Or (if you haven’t engaged in the fandom yet) what you’re most looking forward to playing/watching!,I will be in Ibuki Mioda cosplay! I will have a red guitar shaped bag with a clear front (inside the clear pocket will be a Danganronpa manga and pins). I will also have a lot of Kandi jewelery! :),Danganronpa,Saturday
srsbznss-Thomas_-_Instinct.png,Instinct,srsbznss/Thomas,Exclusive,"In Pokémon Go, be a member of Team Instinct and show Thomas your trainer profile","Throughout the weekend, Thomas will be wearing either a magenta, floral suit jacket or a dark blue, velvet suit jacket.",Pokemon,"Friday, 
Saturday Morning, 
Saturday Night, 
Sunday"
srsbznss-Thomas_-_Jura-Tempest_Federation.png,Jura-Tempest Federation,srsbznss/Thomas,Action,"Politely approach Thomas and do at least one of the following:
 - Be in That Time I Got Reincarnated as a Slime cosplay
 - Show Thomas a picture you took (with permission) of someone in That Time I Got Reincarnated as a Slime cosplay at Nebkon 2025
 - Show Thomas a picture/autograph/video you've received from a guest that voiced a character in That Time I Got Reincarnated as a Slime
 - Show Thomas That Time I Got Reincarnated as a Slime merch that you've purchased (online photos don't count!)","Throughout the weekend, Thomas will be wearing either a magenta, floral suit jacket or a dark blue, velvet suit jacket.",That Time I Got Reincarnated as a Slime,"Friday, 
Saturday Morning, 
Saturday Night, 
Sunday"
srsbznss-Thomas_-_Keep_Calm_&_Chibaku_Tensei.png,Keep Calm & Chibaku Tensei,srsbznss/Thomas,Action,"Politely approach Thomas and do at least one of the following:
 - Be in Naruto cosplay
 - Show Thomas a picture you took (with permission) of someone in Naruto cosplay at Nebkon 2025
 - Show Thomas a picture/autograph/video you've received from a guest that voiced a character in Naruto
 - Show Thomas Naruto merch that you've purchased (online photos don't count!)
 - Perform your best chibaku tensei","Throughout the weekend, Thomas will be wearing either a magenta, floral suit jacket or a dark blue, velvet suit jacket.",Naruto,"Friday, 
Saturday Morning, 
Saturday Night, 
Sunday"
srsbznss-Thomas_-_Kingdom_of_Science.png,Kingdom of Science,srsbznss/Thomas,Action,"Politely approach Thomas and do at least one of the following:
 - Be in Dr. Stone cosplay
 - Show Thomas a picture you took (with permission) of someone in Dr. Stone cosplay at Nebkon 2025
 - Show Thomas a picture/autograph/video you've received from a guest that voiced a character in Dr. Stone
 - Show Thomas Dr. Stone merch that you've purchased (online photos don't count!)","Throughout the weekend, Thomas will be wearing either a magenta, floral suit jacket or a dark blue, velvet suit jacket.",Dr. Stone,"Friday, 
Saturday Morning, 
Saturday Night, 
Sunday"
Pawsitively_Cozy_-_Kitty_Ghost_Fan_Club.png,Kitty Ghost Fan Club,Pawsitively Cozy,Action,"Buy a Kitty Ghost Product (jumbo, mini, mystery, sticker) from Pawsitively Cozy",Pawsitively Cozy - Artist Alley Booth #34,N/A,"Friday, Saturday, Sunday"
Dakotah_-_Knees_for_Trees.jpg,Knees for Trees,Dakotah,Achievement,Tell me you speak for the trees,I'll try to be wearing my LED screen backpack,The Lorax,"Friday, Saturday, Sunday"
Wes_-_Kon_star.jpg,Kon star,Wes,Action,By being filmed for the kon music video,Carrying a camera,N/A,"Friday, Saturday, Sunday"
srsbznss-Thomas_-_Lelouch_vi_Britannia.png,Lelouch vi Britannia,srsbznss/Thomas,Action,"Politely approach Thomas and do at least one of the following:
 - Be in Code Geass cosplay
 - Show Thomas a picture you took (with permission) of someone in Code Geass cosplay at Nebkon 2025
 - Show Thomas a picture/autograph/video you've received from a guest that voiced a character in Code Geass
 - Show Thomas Code Geass merch that you've purchased (online photos don't count!)","Throughout the weekend, Thomas will be wearing either a magenta, floral suit jacket or a dark blue, velvet suit jacket.",Code Geass,"Friday, 
Saturday Morning, 
Saturday Night, 
Sunday"
Queen_Belle_-_Long_Live_the_Queen.png,Long Live the Queen,Queen Belle,Connection,Just something for people to come up and say hi and take pics with me :),"I will be dressed as female Dabi from My Hero Academia on Friday, Rin from Naruto on Saturday, Himiko Toga from My Hero Academia on Sunday! See pics in the discord for references for each day!!",N/A,"Friday, Saturday, Sunday"
Valentine_and_Leo_-_LoveHate.jpg,LoveHate,Valentine and Leo,Connection,Tell me your favorite Alien Stage song!,Ivan and Till or Mizi and Sua,Alien Stage,"Friday, Saturday"
srsbznss-Thomas_-_Maomao_Approves.png,Maomao Approves,srsbznss/Thomas,Action,"Politely approach Thomas and do at least one of the following:
 - Be in Apothecary Diaries cosplay
 - Show Thomas a picture you took (with permission) of someone in Apothecary Diaries cosplay at Nebkon 2025
 - Show Thomas a picture/autograph/video you've received from a guest that voiced a character in Apothecary Diaries, such as Ciarán Strange
 - Show Thomas Apothecary Diaries merch that you've purchased (online photos don't count!)","Throughout the weekend, Thomas will be wearing either a magenta, floral suit jacket or a dark blue, velvet suit jacket.",Apothecary Diaries,"Friday, 
Saturday Morning, 
Saturday Night, 
Sunday"
srsbznss-Thomas_-_May_the_Memes_Be_With_You.png,May the Memes Be With You,srsbznss/Thomas,Connection,Tell Thomas your favorite Star Wars meme line,"Throughout the weekend, Thomas will be wearing either a magenta, floral suit jacket or a dark blue, velvet suit jacket.",Star Wars,"Friday, 
Saturday Morning, 
Saturday Night, 
Sunday"
Heydensan_Cosplay_-_Me_Hearty_Crew!.png,Me Hearty Crew!,Heydensan Cosplay,Exclusive,"Five Night’s At Freddy’s Karaoke, Five Night’s At Freddy’s Photoshoot, FNAF Cosplay.",Foxy the Pirate from Five Night’s At Freddy’s,Five Night’s At Freddy’s,"Friday, Saturday"
Pawsitively_Cozy_-_Meooooooow.png,Meooooooow,Pawsitively Cozy,Action,Subscribe to Pawsitively Cozy on Youtube (or buy for $5),Pawsitively Cozy - Artist Alley Booth #34,N/A,"Friday, Saturday, Sunday"
srsbznss-Thomas_-_Mystic.png,Mystic,srsbznss/Thomas,Exclusive,"In Pokémon Go, be a member of Team Mystic and show Thomas your trainer profile","Throughout the weekend, Thomas will be wearing either a magenta, floral suit jacket or a dark blue, velvet suit jacket.",Pokemon,"Friday, 
Saturday Morning, 
Saturday Night, 
Sunday"
Nicole_&_Hannah_-_Nebraska_Ruffle_Society.jpg,Nebraska Ruffle Society,Nicole & Hannah,Exclusive,Attend the Lolita Fashion 101 Panel on Saturday at 2pm,,Lolita/EGL,Saturday
srsbznss-Thomas_-_No_Waifu_No_Laifu.png,No Waifu No Laifu,srsbznss/Thomas,Connection,Tell Thomas who the best girl is and why,"Throughout the weekend, Thomas will be wearing either a magenta, floral suit jacket or a dark blue, velvet suit jacket.",N/A,"Friday, 
Saturday Morning, 
Saturday Night, 
Sunday"
Fenyx_-_Not_a_Bot.png,Not a Bot,Fenyx,Achievement,Prove you are a member of the Anime NebrasKon discord server,Probably with a baby. Going to update pictures of what I’m wearing in the discord channel each day,N/A,"Friday, Saturday, Sunday"
